64,,,,,32,,,,,16,,,,,8,,,,,4,,,,,Final,,,
Rank,Team (Seed),% Picked,,,Rank,Team (Seed),% Picked,,,Rank,Team (Seed),% Picked,,,Rank,Team (Seed),% Picked,,,Rank,Team (Seed),% Picked,,,Rank,Team (Seed),% Picked,
1st,Duke(1),98.45%,,,1st,Duke(1),94.03%,,,1st,Michigan(1),80.82%,,,1st,Duke(1),63.13%,,,1st,Duke(1),47.53%,,,1st,Duke(1),28.37%,
2nd,Florida(1),97.05%,,,2nd,Michigan(1),91.95%,,,2nd,Duke(1),78.46%,,,2nd,Michigan(1),60.18%,,,2nd,Arizona(1),41.37%,,,2nd,Arizona(1),21.92%,
3rd,Connecticut(2),96.88%,,,3rd,Arizona(1),91.38%,,,3rd,Arizona(1),76.82%,,,3rd,Arizona(1),59.10%,,,3rd,Michigan(1),27.99%,,,3rd,Michigan(1),14.29%,
4th,Arizona(1),96.65%,,,4th,Florida(1),89.99%,,,4th,Florida(1),76.30%,,,4th,Florida(1),41%,,,4th,Houston(2),14.15%,,,4th,Florida(1),6.28%,
5th,Michigan(1),96.55%,,,5th,Houston(2),85.73%,,,5th,Houston(2),62.61%,,,5th,Houston(2),35.77%,,,5th,Florida(1),13.65%,,,5th,Houston(2),5.74%,
6th,Purdue(2),95.70%,,,6th,Purdue(2),81.16%,,,6th,Iowa St.(2),54.31%,,,6th,Iowa St.(2),18.65%,,,6th,Purdue(2),7.26%,,,6th,Connecticut(2),3.53%,
7th,Michigan St.(3),95.68%,,,7th,Connecticut(2),80.40%,,,7th,Purdue(2),52.79%,,,7th,Purdue(2),15.66%,,,7th,Connecticut(2),7.19%,,,7th,Purdue(2),3.08%,
8th,Houston(2),95.27%,,,8th,Michigan St.(3),77.44%,,,8th,Connecticut(2),49.91%,,,8th,Connecticut(2),13.75%,,,8th,Iowa St.(2),5.37%,,,8th,Iowa St.(2),2.01%,
9th,Kansas(4),94.99%,,,9th,Iowa St.(2),75.93%,,,9th,Michigan St.(3),36.41%,,,9th,Illinois(3),10.21%,,,9th,Gonzaga(3),4.55%,,,9th,Gonzaga(3),1.82%,
10th,Iowa St.(2),93.96%,,,10th,Gonzaga(3),68.16%,,,10th,Gonzaga(3),29.88%,,,10th,Gonzaga(3),9.41%,,,10th,Michigan St.(3),4.11%,,,10th,Michigan St.(3),1.42%,
11th,Gonzaga(3),93.95%,,,11th,Illinois(3),67.44%,,,11th,Virginia(3),24.60%,,,11th,Michigan St.(3),9.25%,,,11th,Illinois(3),3.40%,,,11th,Kansas(4),1.41%,
12th,Virginia(3),93.22%,,,12th,Virginia(3),63.82%,,,12th,Illinois(3),21.85%,,,12th,Virginia(3),7.08%,,,12th,Arkansas(4),2.86%,,,12th,Illinois(3),1.23%,
13th,Illinois(3),92.59%,,,13th,Arkansas(4),58.28%,,,13th,Vanderbilt(5),10.78%,,,13th,Arkansas(4),6.38%,,,13th,Kansas(4),2.31%,,,13th,Arkansas(4),1.22%,
14th,Arkansas(4),90.95%,,,14th,Vanderbilt(5),55.95%,,,14th,Arkansas(4),10.73%,,,14th,St. John's(5),5.37%,,,14th,St. John's(5),2.29%,,,14th,St. John's(5),1.05%,
15th,St. John's(5),88.30%,,,15th,Alabama(4),54.21%,,,15th,St. John's(5),9.99%,,,15th,Kansas(4),4.06%,,,15th,Virginia(3),2.18%,,,15th,Wisconsin(5),0.83%,
16th,Alabama(4),87.84%,,,16th,St. John's(5),53.96%,,,16th,Tennessee(6),9.32%,,,16th,Alabama(4),3.99%,,,16th,Kentucky(7),1.43%,,,16th,Virginia(3),0.74%,
17th,Nebraska(4),86.57%,,,17th,Kansas(4),42.15%,,,17th,Alabama(4),9.21%,,,17th,N. Carolina(6),3.67%,,,17th,Wisconsin(5),1.39%,,,17th,N. Carolina(6),0.44%,
18th,Tennessee(6),85.65%,,,18th,Nebraska(4),35.70%,,,18th,N. Carolina(6),9.01%,,,18th,Vanderbilt(5),2.78%,,,18th,Alabama(4),1.20%,,,18th,Alabama(4),0.44%,
19th,Vanderbilt(5),83.20%,,,19th,Wisconsin(5),34.94%,,,19th,BYU(6),8.53%,,,19th,Wisconsin(5),2.77%,,,19th,N. Carolina(6),0.88%,,,19th,Kentucky(7),0.34%,
20th,Wisconsin(5),82.85%,,,20th,Texas Tech(5),34.88%,,,20th,Kansas(4),7.76%,,,20th,Kentucky(7),2.66%,,,20th,Vanderbilt(5),0.73%,,,20th,Nebraska(4),0.27%,
21st,BYU(6),79.91%,,,21st,Tennessee(6),30.19%,,,21st,Kentucky(7),7.39%,,,21st,Tennessee(6),1.83%,,,21st,BYU(6),0.66%,,,21st,BYU(6),0.26%,
22nd,Texas Tech(5),74.86%,,,22nd,BYU(6),24.81%,,,22nd,Wisconsin(5),6.41%,,,22nd,Nebraska(4),1.80%,,,22nd,Tennessee(6),0.59%,,,22nd,Vanderbilt(5),0.26%,
23rd,UCLA(7),68.30%,,,23rd,N. Carolina(6),23.99%,,,23rd,UCLA(7),6.03%,,,23rd,Texas Tech(5),1.74%,,,23rd,Nebraska(4),0.59%,,,23rd,UCLA(7),0.25%,
24th,N. Carolina(6),67.68%,,,24th,Kentucky(7),16.87%,,,24th,Nebraska(4),6.01%,,,24th,BYU(6),1.49%,,,24th,Texas Tech(5),0.56%,,,24th,Tennessee(6),0.23%,
25th,Kentucky(7),66.78%,,,25th,UCLA(7),15.32%,,,25th,Texas Tech(5),4.77%,,,25th,Miami (FL)(7),1.25%,,,25th,UCLA(7),0.45%,,,25th,Texas Tech(5),0.21%,
26th,Louisville(6),62.04%,,,26th,Louisville(6),14.57%,,,26th,Miami (FL)(7),4.54%,,,26th,Ohio St.(8),0.99%,,,26th,Miami (FL)(7),0.42%,,,26th,Ohio St.(8),0.19%,
27th,Miami (FL)(7),61.75%,,,27th,Miami (FL)(7),11.95%,,,27th,Louisville(6),4.51%,,,27th,UCLA(7),0.95%,,,27th,Villanova(8),0.37%,,,27th,Pennsylvania(14),0.17%,
28th,Ohio St.(8),60.07%,,,28th,Akron(12),6.52%,,,28th,Iowa(9),2.64%,,,28th,Villanova(8),0.76%,,,28th,Ohio St.(8),0.32%,,,28th,Miami (FL)(7),0.17%,
29th,Iowa(9),55.85%,,,29th,South Florida(11),6.13%,,,29th,Villanova(8),2.40%,,,29th,Louisville(6),0.64%,,,29th,Pennsylvania(14),0.27%,,,29th,Villanova(8),0.15%,
30th,Georgia(8),55.08%,,,30th,St. Mary's(7),5.96%,,,30th,St. Mary's(7),1.78%,,,30th,St. Mary's(7),0.56%,,,30th,Louisville(6),0.25%,,,30th,Louisville(6),0.11%,
31st,Villanova(8),53.79%,,,31st,Texas A&M(10),5.68%,,,31st,Ohio St.(8),1.71%,,,31st,Clemson(8),0.54%,,,31st,Georgia(8),0.22%,,,31st,Georgia(8),0.10%,
32nd,St. Mary's(7),53.48%,,,32nd,VCU(11),5.05%,,,32nd,Clemson(8),1.46%,,,32nd,Georgia(8),0.53%,,,32nd,Clemson(8),0.18%,,,32nd,Clemson(8),0.08%,
33rd,Texas A&M(10),44.35%,,,33rd,Iowa(9),4.67%,,,33rd,Texas A&M(10),1.33%,,,33rd,Texas A&M(10),0.47%,,,33rd,Texas A&M(10),0.18%,,,33rd,Texas A&M(10),0.08%,
34th,Utah St.(9),43.92%,,,34th,McNeese(12),4.59%,,,34th,Georgia(8),1.23%,,,34th,Iowa(9),0.46%,,,34th,Iowa(9),0.17%,,,34th,Iowa(9),0.08%,
35th,Saint Louis(9),42.43%,,,35th,Villanova(8),4.50%,,,35th,South Florida(11),1.13%,,,35th,Pennsylvania(14),0.43%,,,35th,St. Mary's(7),0.16%,,,35th,Saint Louis(9),0.07%,
36th,Clemson(8),42.02%,,,36th,Missouri(10),4.12%,,,36th,Missouri(10),1.09%,,,36th,Saint Louis(9),0.37%,,,36th,Saint Louis(9),0.14%,,,36th,LIU Brooklyn(16),0.06%,
37th,TCU(9),39.12%,,,37th,Santa Clara(10),3.73%,,,37th,Santa Clara(10),1.02%,,,37th,Missouri(10),0.30%,,,37th,Missouri(10),0.12%,,,37th,St. Mary's(7),0.06%,
38th,South Florida(11),36.95%,,,38th,Texas(11),3.54%,,,38th,Saint Louis(9),0.96%,,,38th,South Florida(11),0.27%,,,38th,Hawaii(13),0.12%,,,38th,Missouri(10),0.06%,
39th,Missouri(10),35.90%,,,39th,Georgia(8),3.43%,,,39th,VCU(11),0.76%,,,39th,Santa Clara(10),0.27%,,,39th,LIU Brooklyn(16),0.12%,,,39th,Hawaii(13),0.06%,
40th,UCF(10),30.81%,,,40th,Ohio St.(8),3.28%,,,40th,UCF(10),0.73%,,,40th,TCU(9),0.25%,,,40th,TCU(9),0.11%,,,40th,TCU(9),0.05%,
41st,Santa Clara(10),30.78%,,,41st,Clemson(8),3.12%,,,41st,Pennsylvania(14),0.70%,,,41st,Hawaii(13),0.24%,,,41st,Utah St.(9),0.10%,,,41st,MOH/SMU(11),0.05%,
42nd,VCU(11),30.23%,,,42nd,High Point(12),2.81%,,,42nd,MOH/SMU(11),0.66%,,,42nd,Utah St.(9),0.24%,,,42nd,Santa Clara(10),0.10%,,,42nd,Santa Clara(10),0.05%,
43rd,Akron(12),22.75%,,,43rd,UCF(10),2.77%,,,43rd,Texas(11),0.65%,,,43rd,VCU(11),0.23%,,,43rd,South Florida(11),0.10%,,,43rd,South Florida(11),0.05%,
44th,Texas(11),17.49%,,,44th,MOH/SMU(11),2.68%,,,44th,Utah St.(9),0.63%,,,44th,McNeese(12),0.23%,,,44th,MOH/SMU(11),0.10%,,,44th,Utah St.(9),0.05%,
45th,High Point(12),15%,,,45th,Hofstra(13),2.37%,,,45th,TCU(9),0.58%,,,45th,MOH/SMU(11),0.23%,,,45th,Siena(16),0.10%,,,45th,Siena(16),0.04%,
46th,McNeese(12),14.78%,,,46th,Northern Iowa(12),2.17%,,,46th,McNeese(12),0.57%,,,46th,LIU Brooklyn(16),0.22%,,,46th,McNeese(12),0.09%,,,46th,McNeese(12),0.04%,
47th,MOH/SMU(11),11.81%,,,47th,Hawaii(13),2.09%,,,47th,Hawaii(13),0.53%,,,47th,Texas(11),0.21%,,,47th,Akron(12),0.09%,,,47th,Akron(12),0.04%,
48th,Troy(13),11.40%,,,48th,Saint Louis(9),2.09%,,,48th,Akron(12),0.51%,,,48th,Akron(12),0.21%,,,48th,Texas(11),0.09%,,,48th,Texas(11),0.04%,
49th,Northern Iowa(12),11.05%,,,49th,Troy(13),2.02%,,,49th,Tennessee St.(15),0.48%,,,49th,UCF(10),0.19%,,,49th,VCU(11),0.09%,,,49th,UCF(10),0.04%,
50th,Hofstra(13),9.86%,,,50th,TX/NCST(11),1.90%,,,50th,High Point(12),0.47%,,,50th,Howard(16),0.19%,,,50th,Howard(16),0.08%,,,50th,VCU(11),0.04%,
51st,TX/NCST(11),9.73%,,,51st,Pennsylvania(14),1.81%,,,51st,Idaho(15),0.45%,,,51st,High Point(12),0.19%,,,51st,UCF(10),0.08%,,,51st,Howard(16),0.04%,
52nd,Hawaii(13),6.95%,,,52nd,Utah St.(9),1.67%,,,52nd,Queens University(15),0.44%,,,52nd,Siena(16),0.19%,,,52nd,High Point(12),0.08%,,,52nd,Hofstra(13),0.03%,
53rd,Pennsylvania(14),5.49%,,,53rd,TCU(9),1.58%,,,53rd,Hofstra(13),0.42%,,,53rd,Hofstra(13),0.18%,,,53rd,Hofstra(13),0.08%,,,53rd,Northern Iowa(12),0.03%,
54th,Wright St.(14),4.49%,,,54th,Tennessee St.(15),1.54%,,,54th,Northern Iowa(12),0.40%,,,54th,PV/LEH(16),0.18%,,,54th,Tennessee St.(15),0.07%,,,54th,High Point(12),0.03%,
55th,California Baptist(13),4.40%,,,55th,Kennesaw St.(14),1.48%,,,55th,Troy(13),0.40%,,,55th,Northern Iowa(12),0.17%,,,55th,PV/LEH(16),0.07%,,,55th,Idaho(15),0.03%,
56th,Kennesaw St.(14),3.99%,,,56th,Wright St.(14),1.24%,,,56th,Furman(15),0.40%,,,56th,Tennessee St.(15),0.17%,,,56th,Idaho(15),0.07%,,,56th,Tennessee St.(15),0.03%,
57th,Tennessee St.(15),3.91%,,,57th,N. Dak. St.(14),1.20%,,,57th,LIU Brooklyn(16),0.38%,,,57th,Idaho(15),0.16%,,,57th,Northern Iowa(12),0.07%,,,57th,Queens University(15),0.03%,
58th,N. Dak. St.(14),3.70%,,,58th,California Baptist(13),1.09%,,,58th,TX/NCST(11),0.37%,,,58th,Queens University(15),0.16%,,,58th,Queens University(15),0.07%,,,58th,N. Dak. St.(14),0.03%,
59th,Idaho(15),2.95%,,,59th,Idaho(15),0.99%,,,59th,Wright St.(14),0.36%,,,59th,Troy(13),0.16%,,,59th,California Baptist(13),0.06%,,,59th,California Baptist(13),0.03%,
60th,Furman(15),2.59%,,,60th,Queens University(15),0.92%,,,60th,Howard(16),0.34%,,,60th,Wright St.(14),0.14%,,,60th,Troy(13),0.06%,,,60th,PV/LEH(16),0.03%,
61st,Queens University(15),2.34%,,,61st,Furman(15),0.87%,,,61st,N. Dak. St.(14),0.34%,,,61st,Furman(15),0.14%,,,61st,N. Dak. St.(14),0.06%,,,61st,TX/NCST(11),0.03%,
62nd,LIU Brooklyn(16),1.56%,,,62nd,LIU Brooklyn(16),0.71%,,,62nd,Siena(16),0.32%,,,62nd,California Baptist(13),0.14%,,,62nd,Wright St.(14),0.06%,,,62nd,Troy(13),0.03%,
63rd,Howard(16),1.48%,,,63rd,Howard(16),0.65%,,,63rd,California Baptist(13),0.32%,,,63rd,N. Dak. St.(14),0.13%,,,63rd,Furman(15),0.06%,,,63rd,Wright St.(14),0.03%,
64th,Siena(16),1.32%,,,64th,Siena(16),0.61%,,,64th,Kennesaw St.(14),0.32%,,,64th,Kennesaw St.(14),0.13%,,,64th,Kennesaw St.(14),0.06%,,,64th,Kennesaw St.(14),0.03%,
65th,PV/LEH(16),1.30%,,,65th,PV/LEH(16),0.58%,,,65th,PV/LEH(16),0.31%,,,65th,TX/NCST(11),0.13%,,,65th,TX/NCST(11),0.05%,,,65th,Furman(15),0.03%,
66th,UMBC/HOW(16),0.84%,,,66th,UMBC/HOW(16),0.37%,,,66th,UMBC/HOW(16),0.19%,,,66th,UMBC/HOW(16),0.11%,,,66th,UMBC/HOW(16),0.05%,,,66th,UMBC/HOW(16),0.02%,